,BV号,情感指数
365,BV1uh411174u.csv,0.4419
366,BV1uN411o7VV.csv,0.5637
367,BV1Uo4y1d7WW.csv,0.4803
368,BV1VK4y1W7gN.csv,0.5523
369,BV1WA411H7it.csv,0.5787
370,BV1wh411k7f9.csv,0.5926
371,BV1Wo4y1d71P.csv,0.5211
372,BV1xh41127F3.csv,0.5379
373,BV1xN411o7TF.csv,0.5374
374,BV1Xr4y1P78A.csv,0.4158
375,BV1Xv4y1f75J.csv,0.6082
376,BV1y54y1p7uy.csv,0.4106
377,BV1Yv411Y7gi.csv,0.5287
378,BV1Yz4y1z7ru.csv,0.523
379,BV1Z5411J7UX.csv,0.6265
380,BV1ZX4y1K7yL.csv,0.4426
381,BV13f4y1r7Ft.csv,0.5767
382,BV13y4y1J7Vx.csv,0.4849
383,BV15K411u75d.csv,0.5447
384,BV16b4y1R77b.csv,0.5893
385,BV16f4y1z78L.csv,0.6095
386,BV16v411W7xM.csv,0.5681
387,BV16z4y1S7m9.csv,0.5175
388,BV1754y1Y7Gu.csv,0.573
389,BV19K4y1E7P4.csv,0.5116
390,BV1CU4y1W7c3.csv,0.67
391,BV1Cz4y167Ny.csv,0.5179
392,BV1d5411773y.csv,0.5926
393,BV1d54y1Y712.csv,0.5884
394,BV1dA411M7vQ.csv,0.5737
395,BV1dv411e7Yx.csv,0.5001
396,BV1dX4y1P7Lj.csv,0.5274
397,BV1e541177ZL.csv,0.5184
398,BV1EK4y1W7Kw.csv,0.4793
399,BV1Fo4y1R79C.csv,0.6049
400,BV1FT4y1N7CT.csv,0.4906
401,BV1GN411d7R7.csv,0.4874
402,BV1gU4y1s7d2.csv,0.5772
403,BV1GX4y1N78s.csv,0.584
404,BV1H54y1W7Uf.csv,0.6303
405,BV1iU4y1x7M7.csv,0.6002
406,BV1Jb4y1R7ve.csv,0.5903
407,BV1Jf4y1y7w2.csv,0.4577
408,BV1jK4y1Q7iR.csv,0.5727
409,BV1jN411974a.csv,0.5054
410,BV1JT4y1N7js.csv,0.5996
411,BV1Kf4y1k7pQ.csv,0.489
412,BV1kr4y1N7SD.csv,0.558
413,BV1Ky4y1Y7uh.csv,0.4711
414,BV1mA411u7nf.csv,0.5308
415,BV1nb4y1R7uF.csv,0.5454
416,BV1Nh41127fE.csv,0.6137
417,BV1o5411E7p7.csv,0.6264
418,BV1ob4y1R7uW.csv,0.4998
419,BV1op4y1n7RY.csv,0.538
420,BV1Pf4y1y7KW.csv,0.5152
421,BV1Py4y1Y7ge.csv,0.5775
422,BV1q541177nS.csv,0.5419
423,BV1qU4y147xd.csv,0.52
424,BV1qz4y1m7x2.csv,0.5616
425,BV1R64y1Z7XT.csv,0.5608
426,BV1Rh411k7UP.csv,0.5565
427,BV1RK411M7gB.csv,0.5284
428,BV1sA411p7Dh.csv,0.6104
429,BV1Sh411271u.csv,0.5282
430,BV1sv411e7yb.csv,0.5957
431,BV1tA411M7qA.csv,0.5524
432,BV1Tb4y1R7nz.csv,0.5563
433,BV1tN411d7M2.csv,0.53
434,BV1tt4y1r735.csv,0.5726
435,BV1tV411i7Q1.csv,0.4609
436,BV1uA411H7jA.csv,0.601
437,BV1uh411k7jY.csv,0.5587
438,BV1v541177fZ.csv,0.5231
439,BV1VA411H7Ke.csv,0.5779
440,BV1vK4y1n7Hx.csv,0.5009
441,BV1w54y147E3.csv,0.5428
442,BV1wp4y1H7Hx.csv,0.6569
443,BV1Wr4y1K7YQ.csv,0.6376
444,BV1Wz4y1S7wU.csv,0.4366
445,BV1xK4y1n7RE.csv,0.5013
446,BV1Xp4y1n7ew.csv,0.5789
447,BV1Xz4y127S4.csv,0.4656
448,BV1y54y1s7Za.csv,0.5178
449,BV1yf4y1671p.csv,0.5535
450,BV1YK4y1S7uv.csv,0.5238
451,BV1yv4y1o7UB.csv,0.5371
452,BV1zf4y1z77P.csv,0.6665
453,BV1ZV411i72o.csv,0.5873
454,BV1Zv4y1Z7NP.csv,0.4614
455,BV1zX4y1K7UZ.csv,0.5213
456,BV115411E7Ht.csv,0.5478
457,BV11f4y1k7pt.csv,0.5317
458,BV11v4y1o79B.csv,0.6027
459,BV12v411s7Hx.csv,0.6278
460,BV13K4y1s7yM.csv,0.5923
461,BV145411N76x.csv,0.5391
462,BV14h411C7sd.csv,0.5785
463,BV15t4y1z7yB.csv,0.5695
464,BV15U4y1W7QG.csv,0.5999
465,BV16A411H7Cj.csv,0.5467
466,BV175411E7X6.csv,0.4852
467,BV1AA411p7mP.csv,0.4538
468,BV1Af4y1r71P.csv,0.5707
469,BV1Ay4y1Y72S.csv,0.6023
470,BV1az4y1S72A.csv,0.571
471,BV1B541177PL.csv,0.6054
472,BV1B5411N7Vg.csv,0.5213
473,BV1Bp4y1n7j1.csv,0.582
474,BV1Br4y1T7sW.csv,0.5713
475,BV1cV411t7bi.csv,0.5565
