href,时长,名称,BV号,播放量,弹幕数,up主,up主id
https://www.bilibili.com/video/BV1CT4y1T7VH,1:17,致命物质,BV1CT4y1T7VH,146.6万,807,金十数据官方频道,384894981
https://www.bilibili.com/video/BV1Fv411v7Re,4:32,【水水劳斯】揭秘网络热门视频里的科学原理｜第十一集,BV1Fv411v7Re,145.8万,760,爆炸实验室BoomLab,105588685
https://www.bilibili.com/video/BV1Jz4y1U7WU,8:01,【医学博士】工作细胞真实世界长什么样？I工作细胞《细胞篇》,BV1Jz4y1U7WU,144.6万,4860,兔叭咯,7788379
https://www.bilibili.com/video/BV1Df4y167qF,1:51,男女分别什么时间最活跃？选对时间更加和谐！,BV1Df4y167qF,144.5万,1451,乐有为医生,1103272707
https://www.bilibili.com/video/BV1Gf4y1C7i7,5:26,广西博物志 第三集,BV1Gf4y1C7i7,143.5万,6010,无穷小亮的科普日常,14804670
https://www.bilibili.com/video/BV1mt4y1z7WN,3:58,什么是四维空间,BV1mt4y1z7WN,141.8万,524,rose_is_blue,470549042
https://www.bilibili.com/video/BV1Sz4y127oL,2:17,海错图笔记青少版,BV1Sz4y127oL,137.4万,3722,无穷小亮的科普日常,14804670
https://www.bilibili.com/video/BV16z4y167Fk,6:27,【回形针PaperClip】脂肪去除指南,BV16z4y167Fk,137.3万,4169,回形针PaperClip,258150656
https://www.bilibili.com/video/BV17v4y1Z7qs,1:44,交流电是如何变为直流电的？原理非常简单，知道的人却不多,BV17v4y1Z7qs,136.7万,192,爱上半导体,395188578
https://www.bilibili.com/video/BV1tX4y157MR,1:45,【科普】为什么人们大笑起来基本都是哈哈哈哈！,BV1tX4y157MR,136.5万,4767,画渣花小烙,402576555
https://www.bilibili.com/video/BV1Fz4y167By,8:29,垃圾基建正杀死美国人 | 为何超级大国破败不堪？,BV1Fz4y167By,134.8万,8950,极客队长GeekLead,478269351
https://www.bilibili.com/video/BV1v5411n7zM,0:45,大咖科普 | 男性生殖器官的长度与身高有关系吗？,BV1v5411n7zM,131.7万,1061,中国性学会,661849085
https://www.bilibili.com/video/BV1cK4y1s7hK,9:41,【医学博士】保温杯里的枸杞真的有用吗？I 朋克养生有多野！,BV1cK4y1s7hK,131.4万,5881,兔叭咯,7788379
https://www.bilibili.com/video/BV1st4y167nW,1:45,人类的极限值都有哪些？人类之最,BV1st4y167nW,130.9万,1783,数据揭秘-,396607455
https://www.bilibili.com/video/BV1654y1h7B2,1:03,端正姿势科学拉屎,BV1654y1h7B2,130.5万,3045,中医内科主任说,527350821
https://www.bilibili.com/video/BV14T4y1K7K2,4:10,地里挖出“未知扁头蛇”？结局也太反转了。揭秘大家最近关心的“神奇”生物~,BV14T4y1K7K2,129.8万,909,小阳的昆虫世界,277301527
https://www.bilibili.com/video/BV1mX4y1T7XF,7:11,年轻人的第一台CT机？我竟然用来透视盲盒！,BV1mX4y1T7XF,128.8万,2312,蒸汽老男孩,39413292
https://www.bilibili.com/video/BV1y5411n7ms,2:04,发现了新物种(σ??????)σ哇,BV1y5411n7ms,127.7万,1470,博物杂志,50092850
https://www.bilibili.com/video/BV1hr4y1K7N6,2:02,我就不信谁能找全,BV1hr4y1K7N6,127.1万,1266,博物杂志,50092850
https://www.bilibili.com/video/BV1jT4y1N7Wg,5:18,克莱因瓶：一个永远也装不满的瓶子，只存在于四维空间,BV1jT4y1N7Wg,126.1万,928,宇宙天文馆,687318487
https://www.bilibili.com/video/BV1mt4y1z7B9,8:24,【医学博士】吃这些一周瘦10斤？｜暴打减肥智商税,BV1mt4y1z7B9,125.0万,2.8万,兔叭咯,7788379
https://www.bilibili.com/video/BV1uo4y1o7gq,0:58,剖宫产是怎样做的，释迦告诉你！,BV1uo4y1o7gq,123.4万,757,水果医生,291042076
https://www.bilibili.com/video/BV1Ef4y1k7bq,9:39,人们对现代武器无知到什么程度，那中国武器有多恐怖，你知道吗？,BV1Ef4y1k7bq,123.2万,7446,老K的无聊杂谈,2066911559
https://www.bilibili.com/video/BV1ro4y19714,1:56,这些熟悉的鸟叫声，你肯定听过！妥妥回忆杀,BV1ro4y19714,121.2万,6261,小阳的昆虫世界,277301527
https://www.bilibili.com/video/BV13V411b749,2:17,长期禁欲危害有哪些？对禁欲主义说“NO”,BV13V411b749,121.2万,2510,乐有为医生,1103272707
https://www.bilibili.com/video/BV1o54y1Y7t1,0:53,当医生摊上大事儿怎么办？,BV1o54y1Y7t1,120.1万,461,水果医生,291042076
https://www.bilibili.com/video/BV1jT4y1P7j7,6:33,害人多年!圆头无毒?三角头有毒?民间流传的辨认蛇有无毒的方法靠谱吗?,BV1jT4y1P7j7,120.0万,1.3万,世界记忆大师龙雅,25126508
https://www.bilibili.com/video/BV1df4y1r7pP,7:00,【皮肤科】几十年治痘经验总结，痘痘常用外用药全指南,BV1df4y1r7pP,119.1万,5724,皮肤科医生王瑞艳,4390920
https://www.bilibili.com/video/BV1Zh411k7LL,2:35,你真的有艾滋吗？真的，骗你干嘛！,BV1Zh411k7LL,118.4万,748,水果医生,291042076
https://www.bilibili.com/video/BV1KA411g73G,3:35,是谁又被泡在“酒”里？揭秘12个网络上的“神奇”生物,BV1KA411g73G,118.2万,965,小阳的昆虫世界,277301527
https://www.bilibili.com/video/BV1nN411R77W,1:53,过度用手会怎么样？什么情况适合用手？,BV1nN411R77W,115.3万,1689,乐有为医生,1103272707
https://www.bilibili.com/video/BV16p4y1H7sH,7:43,【医学博士】脖子酸痛？测测你是否有颈椎病 I 颈椎病会瘫?,BV16p4y1H7sH,114.3万,4258,兔叭咯,7788379
https://www.bilibili.com/video/BV1Ma4y1H7JE,1:46,小小包皮，大大的故事,BV1Ma4y1H7JE,112.5万,1168,e鹊视频官方,29480328
https://www.bilibili.com/video/BV1Pa4y1n7Mq,8:07,老中医劝戒撸,BV1Pa4y1n7Mq,111.7万,5,阿弥陀佛Amita-buddha,245945
https://www.bilibili.com/video/BV1R5411J7VN,0:11,人的脚有多脏？,BV1R5411J7VN,109.9万,30,狼森森,5500182
https://www.bilibili.com/video/BV1ia4y1n7tF,4:33,第五集 | 揭秘网络热门视频里的科学原理,BV1ia4y1n7tF,107.9万,689,爆炸实验室BoomLab,105588685
https://www.bilibili.com/video/BV18v411x7FP,2:13,打针时，身体上的肉会不会塞进针管里？,BV18v411x7FP,106.7万,1569,科普小姐姐,472110205
https://www.bilibili.com/video/BV1xp4y1s7x6,1:31,两块一包的盐有多重要？为什么需要垄断？这才是民生国计的根本啊,BV1xp4y1s7x6,106.4万,437,Max无限创意,73884967
https://www.bilibili.com/video/BV1do4y1o75B,1:36,做好这3点，轻松提高精子质量,BV1do4y1o75B,105.8万,1744,妇产科潘医生,700643010
https://www.bilibili.com/video/BV1jy4y1v7Pz,8:46,【医学博士】皮肤背后的杀手是什么？｜拿什么拯救你，我的皮肤,BV1jy4y1v7Pz,104.8万,7853,兔叭咯,7788379
https://www.bilibili.com/video/BV1Jo4y1o7xQ,1:57,百年前的镭姑娘事件，用自己发光的尸骨，告诉世人镭是什么物质,BV1Jo4y1o7xQ,103.9万,676,Max无限创意,73884967
https://www.bilibili.com/video/BV1YV411v7hU,2:35,【科普】信鸽是怎么知道自己的信要送往哪里的？,BV1YV411v7hU,102.9万,1381,画渣花小烙,402576555
https://www.bilibili.com/video/BV1Zt4y1B7fT,3:41,对于啪的错误认知！可能危害甚大！,BV1Zt4y1B7fT,102.4万,798,乐有为医生,1103272707
https://www.bilibili.com/video/BV1YK411M7fx,7:07,暗网就是个韭菜聚集地，你想被割吗？,BV1YK411M7fx,101.9万,1781,知安局,515019371
https://www.bilibili.com/video/BV1zz4y1S7bM,4:24,“传统手艺”，怎样才算是「过度」？,BV1zz4y1S7bM,101.3万,4618,许超医生,415762753
https://www.bilibili.com/video/BV1ro4y1o7v4,5:01,【回形针PaperClip】为什么你的皮肤这么干？,BV1ro4y1o7v4,100.5万,1998,回形针PaperClip,258150656
https://www.bilibili.com/video/BV1Hf4y1k75a,3:43,前列腺高潮是怎么回事？,BV1Hf4y1k75a,100.0万,4191,许超医生,415762753
https://www.bilibili.com/video/BV1B54y1s7eF,8:47,软虚快？关于“小兄弟”常见的问题，我教你解决！,BV1B54y1s7eF,98.7万,2616,乐有为医生,1103272707
https://www.bilibili.com/video/BV1Tf4y16791,1:38,加拿大达到安全标准的直饮水真的能喝吗,BV1Tf4y16791,97.6万,337,行走的大大大羊腿,1289012110
https://www.bilibili.com/video/BV1Gz4y1U7tw,5:49,【回形针PaperClip】一个完美的速冻水饺是怎样炼成的？,BV1Gz4y1U7tw,97.6万,8508,回形针PaperClip,258150656
https://www.bilibili.com/video/BV1qU4y1W7Wk,6:56,【回形针PaperClip】寻找地球上最冷的冬天,BV1qU4y1W7Wk,97.3万,6392,回形针PaperClip,258150656
https://www.bilibili.com/video/BV1eh411y7PK,2:01,不可思议的马拉高尼效应，倒出的茶叶水往高处流，你知道原理吗？,BV1eh411y7PK,97.2万,414,冷科普,630874464
