,词语,次数
694,店门,1
695,问题,69
696,行,55
697,时候,167
698,银托,1
699,。。,109
700,没关,5
701,没关系,5
702,关系,19
703,空间,10
704,感情,4
705,双方,1
706,共同,2
707,事,50
708,了解,30
709,瞎,13
710,BB,2
711,绿茶,1
712,素质,7
713,质感,6
714,感人,2
715,毕竟,8
716,拿给,2
717,前女友,1
718,女友,3
719,指给,1
720,老,217
721,但是,58
722,中意,1
723,显卡,2
724,过,219
725,对象,8
726,心情,3
727,打,116
728,三折,2
729,。。。,200
730,点,236
731,愿意,4
732,能成,1
733,掰,8
734,咋办,4
735,哇,199
736,话,45
737,还行,63
738,会来,3
739,起来,163
740,帅,78
741,麻,20
742,批,77
743,睹物思人,1
744,黯然,1
745,黯然神伤,1
746,神伤,1
747,新,73
748,婚,1
749,用不上,2
750,阿,60
751,介意,9
752,真难,5
753,不怕,24
754,猜猜,5
755,垃圾,98
756,垃圾桶,67
757,多重,2
758,术,8
759,跃迁,2
760,铁板,3
761,靴,1
762,铁,87
763,裤衩,5
764,机械,31
765,迷城,12
766,脑,19
767,洞,8
768,开,88
769,闪现,4
770,番薯,3
771,电击,2
772,小子,8
773,中,122
774,路,22
775,比,250
776,赛,89
777,文,25
778,加,76
779,这里,69
780,仿佛,7
781,听到,33
782,魔,40
783,性,9
784,笑声,5
785,??,11
786,血滴,2
787,尼尔,16
788,胡子,3
789,喷,9
790,金色,4
791,色当,1
792,奖杯,2
793,锈,8
794,打磨,5
795,磨掉,1
796,喷漆,3
797,低,21
798,国产,34
799,质量,15
800,典型,4
801,牛,967
802,B,78
803,创意,8
804,无限,8
805,害怕,101
806,黄人,118
807,想学,23
808,电焊,8
809,尼,21
810,尔,16
811,机,47
812,械,2
813,纪,1
814,元,19
815,逼,462
816,骨骸,3
817,寡妇,6
818,走,166
819,博,194
820,朋克,33
821,狼,9
822,鞋子,8
823,绝,84
824,nb,194
825,成本,17
826,布,29
827,达,13
828,鱼,38
829,这项,3
830,项目,8
831,投,33
832,没用,27
833,系列,53
834,理想,6
835,炮管,2
836,工具,25
837,郎,6
838,鹤,3
839,焱,2
840,！！！,219
841,祖传,110
842,腊鸡,6
843,桶,18
844,诞生,7
845,宝贝,13
846,焊,125
847,技能,6
848,cd,1
849,发,63
850,弹幕,119
851,乐,23
852,可,118
853,300,12
854,干,65
855,宇宙,29
856,霸主,1
857,手工,111
858,耿,100
859,国外,24
860,小哥,49
861,M,10
862,阻尼,5
863,感,36
864,比特,1
865,特斯,1
866,特斯拉,1
867,斯拉,4
868,拉高,1
869,高级,16
870,针,16
871,炒,12
872,倒掉,1
873,爸,15
874,欢,5
875,迎,4
876,电,24
877,时,17
878,代,14
879,钢铁,26
880,侠,29
881,mark1,1
882,爽,14
883,好多,27
884,小时,61
885,小时候,47
886,天堂,8
887,但有,1
888,功夫,5
889,不如,29
890,研究,19
891,些,10
892,有用,28
893,•,4
894,硬核,66
895,MK1,1
896,战甲,3
897,嘴,34
898,处理,19
899,理好,1
900,做,290
901,中东,3
902,快乐,20
903,弹,15
904,嘴唇,2
905,厚,8
906,头,67
907,裂开,11
908,黄晓明,2
909,盲,24
910,猜,39
911,总,24
912,3d,20
913,现实,12
914,画面,14
915,鲁班,3
916,七号,3
917,皮肤,16
918,工业,40
919,废土,1
920,版,56
921,硬邦邦,1
922,硬邦邦的,1
923,植,4
924,发达,1
925,这期,8
926,海绵,6
927,宝宝,50
928,牙齿,5
929,进度,19
930,进度条,19
931,警告,39
932,这人,54
933,以前,68
934,徒弟,5
935,居然,44
936,重金,5
937,重金属,5
938,金属,22
939,ohhhhhh,19
940,狠,17
941,呆,4
942,毛,27
943,甲,7
944,TM,27
945,压力,26
946,压力容器,2
947,容器,3
948,糟践,3
949,必须,28
950,武,6
951,帝,11
952,踏破,4
953,踏破铁鞋,4
954,铁鞋,9
955,无,77
956,觅,3
957,处,8
958,大头,4
959,大头儿,1
960,头儿,2
961,儿子,13
962,鞋,10
963,铁珠,1
964,珠子,7
965,拿来,10
966,当,69
967,玻璃,27
968,玻璃球,3
969,玩,140
970,没人,30
971,撞,7
972,地动,1
973,没看,17
974,看完,29
975,表示,47
976,看过,48
977,怀疑,12
978,盗,50
979,视频,174
980,喜欢,109
981,进,71
982,节奏,9
983,屁,46
984,精,21
985,罐头,2
986,光头,12
987,强,115
988,阴间,63
989,价,16
990,多少钱,30
991,黑,170
992,默,4
993,丁,8
994,格,18
995,背带,1
996,背带裤,1
997,久,8
998,除锈,2
999,修,14
1000,降落,24
1001,降落伞,1
1002,掀起,10
1003,滴,55
1004,盖头,5
1005,拆,22
1006,部队,3
1007,退役,1
1008,回来,25
1009,一顿,9
1010,操作,17
1011,猛,7
1012,如,18
1013,虎,7
1014,",",37
1015,原来,126
1016,造,31
1017,潇洒,1
1018,侏儒,1
1019,看出,40
1020,逐渐,36
1021,虚空,2
1022,锐,2
1023,将,14
1024,A,17
1025,百宝,1
1026,百宝箱,1
1027,宝箱,5
1028,上天,13
1029,大便,2
1030,兽,26
1031,塞尔,1
1032,号,21
1033,液压,8
1034,太沉,1
1035,皮卡丘,2
1036,高档,1
1037,吵闹,2
1038,一,313
1039,剪辑,11
1040,点定,1
1041,定格,3
1042,动画,33
1043,味道,14
1044,真不错,11
1045,不错,79
1046,太闲,2
1047,凯文,1
1048,奥斯卡,2
1049,铁人,6
1050,？？？！！,1
1051,牛鼻,2
1052,眼睛,32
1053,刘海,1
1054,R2D2,1
1055,齿,5
1056,铜牙,4
1057,纪晓岚,7
1058,动手,7
1059,能力,24
1060,发不,5
1061,如不,2
1062,ohohohoh,2
1063,吓人,21
1064,众所周知,13
1065,周知,13
1066,制造,27
1067,技术,55
1068,一生,18
1069,生产,12
1070,生产力,2
1071,缸,5
1072,黄牙,1
1073,头盖,12
1074,头盖骨,11
1075,赛尔,3
1076,机器,21
1077,机器人,8
1078,解压,5
1079,过来,61
1080,笑笑,3
1081,牙,21
1082,亿,43
1083,牢固,3
1084,派,9
1085,大星,5
1086,！？,13
1087,闲,15
1088,蛋,21
1089,疼,38
1090,4,73
1091,10,76
1092,三星,87
1093,三星堆,78
1094,文物,58
1095,韩国,14
1096,发明,33
1097,掀,1
1098,天灵盖,7
1099,握,28
1100,草,193
1101,賽,1
1102,安,23
1103,卓,9
1104,器,21
1105,银,13
1106,完,174
1107,牌,42
1108,面,46
1109,纪元,9
1110,大家,46
1111,立,3
1112,彬,2
1113,变,38
1114,为,22
1115,批量,3
1116,批量生产,1
1117,哥斯拉,3
1118,鞋带,3
1119,新手,7
1120,恐怖,30
1121,站,225
1122,拔,85
1123,宛,1
1124,果在,2
1125,固定,3
1126,塑料,46
1127,塑料袋,2
1128,装置,18
1129,更好,17
1130,讲究,7
1131,办,15
1132,粉尘,2
1133,爆,27
1134,照,18
1135,爆炸,29
1136,工艺,37
1137,工艺品,20
1138,艺品,20
1139,装,81
1140,水,58
1141,防爆,2
1142,想要,50
1143,后世,1
1144,考古,11
1145,难题,2
1146,气,26
1147,保,9
1148,好丑,7
1149,搞完,1
1150,煤气,12
1151,煤气罐,10
1152,气罐,10
