,µ¯Ä»³öÏÖÊ±¼ä,µ¯Ä»Ä£Ê½,µ¯Ä»×ÖÌå´óÐ¡,µ¯Ä»Ê®Áù½øÖÆÑÕÉ«,µ¯Ä»³Ø(0ÎªÆÕÍ¨³Ø£¬1Îª×ÖÄ»³Ø£¬2ÎªÌØÊâ³Ø),µ¯Ä»·¢ËÍÕß¼ÓÃÜid,µ¯Ä»id,µ¯Ä»ÄÚÈÝ
25,10.77100,¹ö¶¯µ¯Ä»,25,0xffffff,0,cc75bfbe,46656809153855491,1
26,11.13900,¹ö¶¯µ¯Ä»,25,0xffffff,0,b5f5a04b,46656024213979141,0
27,13.88800,¹ö¶¯µ¯Ä»,25,0xffffff,0,fc44846b,46655904738181125,2
28,220.85600,¹ö¶¯µ¯Ä»,25,0xffffff,0,44508786,46654302703321093,ÎÒÏÈ·ÀÁË
29,390.01300,¹ö¶¯µ¯Ä»,25,0xffffff,0,4a19cfc,46653408600391683,6
30,11.06500,¹ö¶¯µ¯Ä»,25,0xffffff,0,1091da70,46651695562227717,1
31,21.98800,¹ö¶¯µ¯Ä»,25,0xffffff,0,4f4789e1,46650974092132359,1
32,12.83900,¹ö¶¯µ¯Ä»,25,0xffffff,0,97c711c0,46647902028693509,2
33,13.07900,¹ö¶¯µ¯Ä»,25,0xffffff,0,541972d4,46647763438403651,1
34,467.98700,¹ö¶¯µ¯Ä»,25,0xffffff,0,f17a9968,46632403603030019,¿ÉÒÔ ÕâÒ»²¨ÎÒµãÁ½¸öÔÞ
35,463.71800,¹ö¶¯µ¯Ä»,25,0xffffff,0,d610ce0f,46631973543739395,³ô¶¹¸¯Åä¸¯Èé
36,9.65900,¹ö¶¯µ¯Ä»,25,0xffffff,0,d610ce0f,46631653794643971,1
37,12.13900,¹ö¶¯µ¯Ä»,25,0xffffff,0,58971b9e,46629660671868935,2
38,8.82800,¹ö¶¯µ¯Ä»,25,0xffffff,0,71bef728,46627950806695939,1
39,13.88600,¹ö¶¯µ¯Ä»,25,0xffffff,0,ab46992d,46627570087100421,1
40,9.22400,¹ö¶¯µ¯Ä»,25,0xffffff,0,78b7e0ba,46624685329743879,1
41,21.50200,¹ö¶¯µ¯Ä»,25,0xffffff,0,609399ec,46623850610294789,1
42,16.85100,¹ö¶¯µ¯Ä»,25,0xffffff,0,6752779c,46623042073264131,2
43,11.78400,¹ö¶¯µ¯Ä»,25,0xffffff,0,c1090c2,46622089470279685,2
44,9.52900,¹ö¶¯µ¯Ä»,25,0xffffff,0,690f297c,46620172483559427,1
45,12.77700,¹ö¶¯µ¯Ä»,25,0xffffff,0,bc2d843a,46614220123406339,2
46,10.03700,¹ö¶¯µ¯Ä»,25,0xffffff,0,51b724ea,46614188146556933,1
47,11.83100,¹ö¶¯µ¯Ä»,25,0xffffff,0,fde54d77,46610492476620803,2
48,12.13900,¹ö¶¯µ¯Ä»,25,0xffffff,0,80f4cdd9,46609320197488647,11111
49,12.58100,¹ö¶¯µ¯Ä»,25,0xffffff,0,eb1e541d,46608999593279495,1
50,10.03400,¹ö¶¯µ¯Ä»,25,0xffffff,0,c7bc3543,46607568247717893,36
51,12.24200,¹ö¶¯µ¯Ä»,25,0xffffff,0,3ceae3fd,46606731124932611,2
52,13.28300,¹ö¶¯µ¯Ä»,25,0xffffff,0,890a42,46605764761485317,1
53,13.21900,¹ö¶¯µ¯Ä»,25,0xffffff,0,23ec3ee2,46603704411357187,22222
54,11.62900,¹ö¶¯µ¯Ä»,25,0xffffff,0,5ea2f016,46603625855188997,11111
55,6.26700,¹ö¶¯µ¯Ä»,25,0xffffff,0,5ea2f016,46603623240040451,24.56
56,9.18500,¹ö¶¯µ¯Ä»,25,0xffffff,0,3beadc3e,46600733149102087,1
57,14.84300,¹ö¶¯µ¯Ä»,25,0xffffff,0,bdba0178,46591162179911683,2
58,10.86300,¹ö¶¯µ¯Ä»,25,0xffffff,0,185d3091,46586108004794371,1
59,10.90000,¹ö¶¯µ¯Ä»,25,0xffffff,0,3270b241,46585779666812933,1
60,17.11500,¹ö¶¯µ¯Ä»,25,0xffffff,0,4dfd1d24,46585455236874245,1
61,17.39500,¹ö¶¯µ¯Ä»,25,0xffffff,0,334be4c7,46585138503483399,2
62,12.77400,¹ö¶¯µ¯Ä»,25,0xffffff,0,2bb7ac25,46584591932719107,2
63,14.38600,¹ö¶¯µ¯Ä»,25,0xffffff,0,1d44fc56,46583113822240773,2
64,18.61900,¹ö¶¯µ¯Ä»,25,0xffffff,0,37fc29e9,46580586199908359,25ÕýºÃ25
65,21.10100,¹ö¶¯µ¯Ä»,25,0xffffff,0,2d8216fb,46580233601548291,2
66,16.07900,¹ö¶¯µ¯Ä»,25,0xffffff,0,cb7b0cba,46579319264247815,1
67,232.64200,¶¥¶Ëµ¯Ä»,25,0xcc0273,0,71a6015d,46578438173097989,´«Í³¶«±±·¿×Ó¿É²»ÊÇ½øÎÝ¾Í×ø¿»ÉÏ£¬ÁÄÌì³Ô·¹¶¼ÔÚÄÇ
68,14.37900,¹ö¶¯µ¯Ä»,25,0xffffff,0,4222f2c7,46578104715444231,1
69,11.86700,¹ö¶¯µ¯Ä»,25,0xffffff,0,21518b90,46577836670582789,1
70,12.08200,¹ö¶¯µ¯Ä»,25,0xffffff,0,1ea4f7e4,46576925836050435,2222
71,24.19400,¹ö¶¯µ¯Ä»,25,0xffffff,0,e59c29d2,46576314135085061,2
72,14.26400,¹ö¶¯µ¯Ä»,25,0xffffff,0,d2132bf7,46576031753043975,1
73,11.00500,¹ö¶¯µ¯Ä»,25,0xffffff,0,37488047,46575620091543557,1
74,15.18500,¹ö¶¯µ¯Ä»,25,0xffffff,0,e33fb864,46575488792002563,2
75,11.15600,¹ö¶¯µ¯Ä»,25,0xffffff,0,c00738fe,46572860900638725,1
76,0.76500,¹ö¶¯µ¯Ä»,25,0xffffff,0,c0c77147,46572511909904391,ÊÇÖª¿´°É£¬ÖÇÎÞ¹Ø¡£
77,13.86900,¹ö¶¯µ¯Ä»,25,0xffffff,0,4dae2529,46569626406486023,1
78,15.93300,¹ö¶¯µ¯Ä»,25,0xffffff,0,b13c900b,46565467114438659,2
79,15.54200,¹ö¶¯µ¯Ä»,25,0xffffff,0,ebe57637,46554893061718019,1
80,11.17900,¹ö¶¯µ¯Ä»,25,0xffffff,0,708ec0e6,46548905387622407,1
81,395.17600,¹ö¶¯µ¯Ä»,25,0xffffff,0,ad9a1a49,46534396668280839,²»ÖªµÀÎªÊ²Ã´ÎÒµÄË«ÍÈ²»ÊÜ¿ØÖÆ¾ÍÕ¾ÆðÀ´ÁË
82,385.45900,¹ö¶¯µ¯Ä»,25,0xffffff,0,f019357d,46534046260396039,È«ÌåÆðÁ¢
83,10.47900,¹ö¶¯µ¯Ä»,25,0xffffff,0,ffaf9edc,46531467036065799,1
84,277.81300,¹ö¶¯µ¯Ä»,25,0xffffff,0,a1638166,46531422572773379,´òÒ»¼Ü
85,10.19900,¹ö¶¯µ¯Ä»,25,0xffffff,0,4d87af3c,46523439324856323,1
86,7.47800,¹ö¶¯µ¯Ä»,25,0xffffff,0,9fb0ece6,46522043819622403,0000000
87,8.61900,¹ö¶¯µ¯Ä»,25,0xffffff,0,deb204d1,46520564628586501,1
88,23.73100,¹ö¶¯µ¯Ä»,25,0xffffff,0,e74bef28,46517535655329799,22222
89,17.06100,¹ö¶¯µ¯Ä»,25,0xffffff,0,b272f496,46517138820169731,1111
90,10.57900,¹ö¶¯µ¯Ä»,25,0xffffff,0,11ed767d,46515643807694851,11111
91,10.25900,¹ö¶¯µ¯Ä»,25,0xffffff,0,423f8283,46513156107796485,1
92,15.34600,¹ö¶¯µ¯Ä»,25,0xffffff,0,8a48be8f,46494173725982723,1
93,12.89600,¹ö¶¯µ¯Ä»,25,0xffffff,0,cb31c007,46493647494971397,111
94,14.13800,¹ö¶¯µ¯Ä»,25,0xffffff,0,ff6ce15f,46488425207955459,2222222
95,7.00000,¹ö¶¯µ¯Ä»,25,0xffffff,0,ff6ce15f,46488418307276803,3
96,10.38500,¹ö¶¯µ¯Ä»,25,0xffffff,0,f3d00092,46484469205434375,1
97,14.91300,¹ö¶¯µ¯Ä»,25,0xffffff,0,a0de91b5,46480213965537283,1
98,148.26600,¹ö¶¯µ¯Ä»,25,0xffffff,0,319ec0e9,46472629005058055,15.7
99,150.84900,¹ö¶¯µ¯Ä»,25,0xffffff,0,4f395cfa,46471003654062083,±£»¤
100,10.81400,¹ö¶¯µ¯Ä»,25,0xffffff,0,38d38fe6,46448868013375495,1
101,15.06500,¹ö¶¯µ¯Ä»,25,0xffffff,0,a97e1ce5,46447850656628739,1
102,21.82200,¹ö¶¯µ¯Ä»,25,0xffffff,0,8bca31db,46446048516767747,2
103,13.96400,¹ö¶¯µ¯Ä»,25,0xffffff,0,dfe6512d,46444696268963847,2
104,15.65800,¹ö¶¯µ¯Ä»,25,0xffffff,0,e167daf6,46435455862833159,2
105,11.61900,¹ö¶¯µ¯Ä»,25,0xffffff,0,c72ba2d6,46429846968991749,2
106,11.54100,¹ö¶¯µ¯Ä»,25,0xffffff,0,754064ae,46428526952841223,1
107,10.77000,¹ö¶¯µ¯Ä»,25,0xffffff,0,4a0ce98f,46426720834682883,1
108,17.66600,¹ö¶¯µ¯Ä»,25,0xffffff,0,3bf368c4,46425939925008387,1
109,9.28200,¹ö¶¯µ¯Ä»,25,0xffffff,0,b797499f,46425468174860295,1
110,18.67100,¹ö¶¯µ¯Ä»,25,0xffffff,0,590b7e4b,46424293371281477,1
111,12.48700,¹ö¶¯µ¯Ä»,25,0xffffff,0,590b7e4b,46424290193571847,10
112,13.18700,¹ö¶¯µ¯Ä»,25,0xffffff,0,81ee00de,46421656889458695,2
113,13.26300,¹ö¶¯µ¯Ä»,25,0xffffff,0,f20a0ce1,46412637488545799,000
114,13.00100,¹ö¶¯µ¯Ä»,25,0xffffff,0,ac8f6490,46406790308429827,1
115,11.29900,¹ö¶¯µ¯Ä»,25,0xffffff,0,61d94606,46403132567584771,19.22
116,14.41000,¹ö¶¯µ¯Ä»,25,0xffffff,0,469895c1,46402564152885255,1
117,11.08900,¹ö¶¯µ¯Ä»,25,0xffffff,0,4f68f902,46401889672626181,1
118,11.20900,¹ö¶¯µ¯Ä»,25,0xffffff,0,2aa23332,46396243382894597,1
119,14.27300,¹ö¶¯µ¯Ä»,25,0xffffff,0,c45b1617,46394342839418883,1
120,7.90400,¹ö¶¯µ¯Ä»,25,0xffffff,0,c0887647,46392605544022023,0
121,16.13300,¹ö¶¯µ¯Ä»,25,0xffffff,0,78384fca,46386432291897349,1
122,12.02800,¹ö¶¯µ¯Ä»,25,0xffffff,0,2d5605fd,46381333749432325,0
123,15.31900,¹ö¶¯µ¯Ä»,25,0xffffff,0,1a7b7b92,46380462455652355,1
124,13.81400,¹ö¶¯µ¯Ä»,25,0xffffff,0,592f9db6,46379541500264455,1
125,413.84600,¹ö¶¯µ¯Ä»,25,0xffffff,0,fde6a6f,46361631235506183,ËùÒÔÒ»¸öÊÓÆµÇ¡ÁË¼¸¶Ù·¹£¿
126,464.75500,¹ö¶¯µ¯Ä»,25,0xffffff,0,fb34c197,46357999754674179,µãÁËÊ®¸öÔÞ£¡£¡£¡£¡£¡
127,7.55000,¹ö¶¯µ¯Ä»,25,0xffffff,0,109dba9e,46355775712919555,2
128,15.03500,¹ö¶¯µ¯Ä»,25,0xffffff,0,69a2aae8,46354236122857477,1
129,13.01600,¹ö¶¯µ¯Ä»,25,0xffffff,0,f60c74f1,46351258498891783,1
130,25.62300,¹ö¶¯µ¯Ä»,25,0xffffff,0,c1090c2,46346090889347075,2
131,12.51000,¹ö¶¯µ¯Ä»,25,0xffffff,0,f3c58fea,46339765789261831,1
132,13.50700,¹ö¶¯µ¯Ä»,25,0xffffff,0,60cb77d6,46336774137446403,1
133,11.39200,¹ö¶¯µ¯Ä»,25,0xffffff,0,e645fc7d,46330651814658055,1
134,11.31700,¹ö¶¯µ¯Ä»,25,0xffffff,0,e6ff3edc,46330620127215623,1
135,15.46000,¹ö¶¯µ¯Ä»,25,0xffffff,0,16e5c6,46324188621832199,1
136,13.93000,¹ö¶¯µ¯Ä»,25,0xffffff,0,76ffab81,46312405241692167,1
137,11.57100,¹ö¶¯µ¯Ä»,25,0xffffff,0,65d546d6,46312067388407815,1
138,10.62100,¹ö¶¯µ¯Ä»,25,0xffffff,0,91e1c7fd,46309167574548483,2
139,16.71000,¹ö¶¯µ¯Ä»,25,0xffffff,0,ed2bd95,46307888120987655,2
140,10.47300,¹ö¶¯µ¯Ä»,25,0xffffff,0,861da34,46305607810547719,0
141,14.78700,¹ö¶¯µ¯Ä»,25,0xffffff,0,b1b812e4,46302337680539651,1
142,11.30900,¹ö¶¯µ¯Ä»,25,0xffffff,0,742e29b3,46298364366553095,1
143,189.54700,¹ö¶¯µ¯Ä»,25,0xffffff,0,c792573a,46293575470678019,ÀÖÊÂÊíÆ¬
144,13.52400,¹ö¶¯µ¯Ä»,25,0xffffff,0,f2a8eac5,46292469802336263,1
145,14.28100,¹ö¶¯µ¯Ä»,25,0xffffff,0,62cf7a6,46292344931614727,2
146,27.87100,¹ö¶¯µ¯Ä»,25,0xffffff,0,92f0907,46270945451573255,2Í´¿à
147,13.60000,¹ö¶¯µ¯Ä»,25,0xffffff,0,39b78526,46269173348171779,1
148,12.23100,¹ö¶¯µ¯Ä»,25,0xffffff,0,7d393ab4,46267564946882567,1
149,12.41900,¹ö¶¯µ¯Ä»,25,0xffffff,0,bd66d87f,46267140609671173,2
150,18.50000,¹ö¶¯µ¯Ä»,25,0xffffff,0,e395558d,46266396900327429,1
151,22.75200,¹ö¶¯µ¯Ä»,25,0xffffff,0,4b02a548,46266087217561603,1
152,325.07900,¹ö¶¯µ¯Ä»,25,0xffffff,0,4f316381,46264810523328517,»¹Õæ²»ÊÇÉÅÊ³ÏËÎ¬µÄ
153,14.99400,¹ö¶¯µ¯Ä»,25,0xffffff,0,e719dec,46264702216437767,2
154,26.04600,¹ö¶¯µ¯Ä»,25,0xffffff,0,9cb460d3,46263668977958915,111
155,16.71400,¹ö¶¯µ¯Ä»,25,0xffffff,0,a0530123,46263600528490501,2
156,13.00900,¹ö¶¯µ¯Ä»,25,0xffffff,0,6e1ee751,46263482742472707,2
157,10.39000,¹ö¶¯µ¯Ä»,25,0xffffff,0,62a4f9fb,46262766959853575,1
158,315.57400,¹ö¶¯µ¯Ä»,25,0xffffff,0,ec4b1bb,46260510915035139,â§²»¼°·À£¿
159,15.83900,¹ö¶¯µ¯Ä»,25,0xffffff,0,a86e2822,46260476940648451,29£¬¿ÞÁË£¡£¡£¡
160,18.37900,¹ö¶¯µ¯Ä»,25,0xffffff,0,b45156d2,46259647482953735,2
161,18.05900,¹ö¶¯µ¯Ä»,25,0xffffff,0,2b05af00,46257548014649347,ÎÒÊÇ1Ò®
162,14.46900,¹ö¶¯µ¯Ä»,25,0xffffff,0,2b05af00,46257542291521539,1
163,8.69100,¹ö¶¯µ¯Ä»,25,0xffffff,0,6d79fa9b,46256388720558087,¿ìµ½2ÁË
164,12.64800,¹ö¶¯µ¯Ä»,25,0xffffff,0,dc39e74e,46242958754185223,1
165,11.83600,¹ö¶¯µ¯Ä»,25,0xffffff,0,156d4f46,46219764013989891,2
166,10.54700,¹ö¶¯µ¯Ä»,25,0xffffff,0,cf8c2a6f,46217416427438083,1
167,10.26700,¹ö¶¯µ¯Ä»,25,0xffffff,0,4337e65d,46205870922530821,0
168,9.84100,¹ö¶¯µ¯Ä»,25,0xffffff,0,518de75c,46205448325955589,1
169,16.00700,¹ö¶¯µ¯Ä»,25,0xffffff,0,a5a7518a,46199333273468935,1
170,10.47300,¹ö¶¯µ¯Ä»,25,0xffffff,0,3f4af3d0,46196448996360195,1
171,11.91600,¹ö¶¯µ¯Ä»,25,0xffffff,0,32dfc42f,46196136384921605,1
172,10.70700,¹ö¶¯µ¯Ä»,25,0xffffff,0,f94120cd,46183304370585603,1
173,109.16800,¶¥¶Ëµ¯Ä»,25,0xffffff,0,7e8c9a36,46175370581377031,¿É²Î¿¼¸ßÖÐÉúÎï±ØÐÞÒ»µÚ¶þÕÂµÚÈý½Ú
174,13.17900,¹ö¶¯µ¯Ä»,25,0xffffff,0,11be59bc,46175089440325637,222222
175,20.38000,¹ö¶¯µ¯Ä»,25,0xffffff,0,9a67755d,46174921703817223,1
176,12.35500,¹ö¶¯µ¯Ä»,25,0xffffff,0,3e7d5d21,46174742005678083,0000
177,127.77900,¹ö¶¯µ¯Ä»,25,0xffffff,0,bd63a1b6,46172148106526723,ÎÒäÆ
178,10.85900,¹ö¶¯µ¯Ä»,25,0xffffff,0,bd63a1b6,46172091154694151,1
179,14.14800,¹ö¶¯µ¯Ä»,25,0xffffff,0,5f8d528a,46172047209398275,1
180,22.41900,¹ö¶¯µ¯Ä»,25,0xffffff,0,6c35a9be,46170374050152453,2
181,388.04500,¹ö¶¯µ¯Ä»,25,0xffffff,0,9b6121cf,46155074322825219,ÆðÁ¢
182,11.47600,¹ö¶¯µ¯Ä»,25,0xffffff,0,941b9063,46142189660012551,1
183,13.80800,¹ö¶¯µ¯Ä»,25,0xffffff,0,a6e4c146,46132606449745925,2
184,24.09900,¹ö¶¯µ¯Ä»,25,0xffffff,0,702cd5c5,46132040228143109,000000
185,8.81100,¶¥¶Ëµ¯Ä»,25,0xe70012,0,7690af60,46124899099475971,1
186,13.59400,¹ö¶¯µ¯Ä»,25,0xffffff,0,e74c4992,46124278698475525,1
187,208.61200,¹ö¶¯µ¯Ä»,25,0xffffff,0,6a191820,46122955311677447,¸Ð¾õµ½²»¶Ô¾¢ÁË
188,11.62400,¹ö¶¯µ¯Ä»,25,0xffffff,0,2d6e96b0,46122902834118661,1
189,360.67300,¹ö¶¯µ¯Ä»,25,0xffffff,0,2cbdf4bd,46121531282030597,ÎÒã¶ÁËÒ»»á¶ù£¬Õâ²»¾ÍÊÇÃâÒß»îÐÔÒò×ÓÂï
190,11.42900,¹ö¶¯µ¯Ä»,25,0xffffff,0,7f93e05f,46121085312696327,1111
191,11.85000,¹ö¶¯µ¯Ä»,25,0xffffff,0,6927e19e,46119023756705797,1
192,13.64200,¹ö¶¯µ¯Ä»,25,0xffffff,0,41ed1277,46112621082968071,1
193,10.01100,¹ö¶¯µ¯Ä»,25,0xffffff,0,33ec6aa1,46111894060138501,0
194,9.72500,¹ö¶¯µ¯Ä»,25,0xfef102,0,3ba67f15,46110044040200195,1
195,12.50200,¹ö¶¯µ¯Ä»,25,0xffffff,0,436c9584,46105652547813381,1
196,12.90100,¹ö¶¯µ¯Ä»,25,0xffffff,0,c09422ba,46086849231847427,1
197,32.45100,¹ö¶¯µ¯Ä»,25,0xffffff,0,b4c2fdad,46086290588827655,ÎÒÖ»ÏëÔöÖØ£¬ÓÐ·½·¨Ã´
198,39.93900,¹ö¶¯µ¯Ä»,25,0xffffff,0,b4c2fdad,46086273980956677,16.2
199,29.62200,¹ö¶¯µ¯Ä»,25,0xffffff,0,b4c2fdad,46086268564013063,16.2
200,13.18000,¹ö¶¯µ¯Ä»,25,0xffffff,0,b4c2fdad,46086259948912647,16.72¡£¡£
201,12.11400,¹ö¶¯µ¯Ä»,25,0xffffff,0,824e8b81,46084762110525447,2
202,18.30200,¹ö¶¯µ¯Ä»,25,0xffffff,0,a6c065bf,46084678605602819,1
203,5.41200,¹ö¶¯µ¯Ä»,25,0xffffff,0,65fd1e1a,46079995043381255,0
204,10.24200,¹ö¶¯µ¯Ä»,25,0xffffff,0,cf7e1e18,46079929981861893,0
205,16.37300,¹ö¶¯µ¯Ä»,25,0xffffff,0,d844982c,46078831736913925,1
206,18.39100,¹ö¶¯µ¯Ä»,25,0xffffff,0,ed9daab2,46077473077592067,2
207,4.89300,¹ö¶¯µ¯Ä»,25,0xffffff,0,72450f76,46077137210834949,28......
208,16.68100,¹ö¶¯µ¯Ä»,25,0xffffff,0,f35d1d8d,46074640341139459,1£¿£¿£¿
209,11.12800,¹ö¶¯µ¯Ä»,25,0xffffff,0,1859a05b,46073966110965765,1
210,19.00300,¹ö¶¯µ¯Ä»,25,0xffffff,0,62cd4cbe,46072505189793797,1
211,32.36000,¹ö¶¯µ¯Ä»,25,0xffffff,0,c9353d5d,46070287400173571,3..
212,10.89900,¹ö¶¯µ¯Ä»,25,0xffffff,0,54208686,46068223954649095,1
213,17.00300,¹ö¶¯µ¯Ä»,25,0xffffff,0,7ec7a40c,46067368242708487,1
214,14.69600,¹ö¶¯µ¯Ä»,25,0xffffff,0,6f2c1576,46065612198772739,1
215,13.25900,¹ö¶¯µ¯Ä»,25,0xffffff,0,921dcaf,46064951767859207,111111
216,11.15300,¹ö¶¯µ¯Ä»,25,0xffffff,0,e52eb9d7,46062196748713987,1
217,12.86800,¹ö¶¯µ¯Ä»,25,0xffffff,0,e46da8c,46060491466342403,1
218,11.90100,¹ö¶¯µ¯Ä»,25,0xffffff,0,b4e74f39,46059517849894919,2
219,324.29200,¹ö¶¯µ¯Ä»,25,0xffffff,0,1f2238aa,46058217080881159,Ì«¹óÁË
220,15.23300,¹ö¶¯µ¯Ä»,25,0xffffff,0,dbf21b4f,46044918036037637,1
221,137.15000,¹ö¶¯µ¯Ä»,25,0xffffff,0,95ce99b9,46043590293454855,±£»¤±£»¤
222,6.71400,¹ö¶¯µ¯Ä»,25,0xffffff,0,95ce99b9,46043483102248967,1
223,12.35800,¹ö¶¯µ¯Ä»,25,0xffffff,0,3350290e,46042296746508295,1
224,13.51700,¹ö¶¯µ¯Ä»,25,0xffffff,0,4ba024cd,46042172055617543,2
225,11.14900,¹ö¶¯µ¯Ä»,25,0xffffff,0,f5aa6806,46041862226051075,1
226,12.87200,¹ö¶¯µ¯Ä»,25,0xffffff,0,a0af7f66,46038790517030915,1
227,8.16400,¹ö¶¯µ¯Ä»,25,0xffffff,0,51368353,46038723486810117,1
228,16.36200,¹ö¶¯µ¯Ä»,25,0xffffff,0,274e79e0,46038711700815875,1
229,13.52900,¹ö¶¯µ¯Ä»,25,0xffffff,0,953734c9,46038693975162883,2
230,14.02400,¹ö¶¯µ¯Ä»,25,0xffffff,0,b5f9196,46037932853690435,2
231,150.48400,¹ö¶¯µ¯Ä»,25,0xffffff,0,4fe5bf44,46035404090507271,±£»¤
232,11.47400,¹ö¶¯µ¯Ä»,25,0xffffff,0,d20841a1,46034815741329413,2
233,13.65000,¹ö¶¯µ¯Ä»,25,0xffffff,0,90a6c06e,46033927750025219,1
234,10.78200,¹ö¶¯µ¯Ä»,25,0xffffff,0,68f3367d,46033558937534471,2
235,12.36300,¹ö¶¯µ¯Ä»,25,0xffffff,0,f0e9d80e,46032635057668101,2
236,14.50400,¹ö¶¯µ¯Ä»,25,0xffffff,0,acac3e79,46032559941877767,2
237,8.31000,¹ö¶¯µ¯Ä»,25,0xffffff,0,39ca97ff,46030822854623239,1
238,14.45900,¹ö¶¯µ¯Ä»,25,0xffffff,0,39ca97ff,46030525858054151,1
239,147.17900,¹ö¶¯µ¯Ä»,25,0xffffff,0,57a3bf7d,46029780701151239,±£»¤
240,11.83000,¹ö¶¯µ¯Ä»,25,0xffffff,0,45db75b1,46028654577188867,1
241,11.96600,¹ö¶¯µ¯Ä»,25,0xffffff,0,29756eb6,46027008433979395,1
242,10.86500,¹ö¶¯µ¯Ä»,25,0xffffff,0,69bc6fdb,46025239413391367,111
243,9.50000,¹ö¶¯µ¯Ä»,25,0xffffff,0,aa544eb0,46024615554187271,1
244,14.16200,¹ö¶¯µ¯Ä»,25,0xffffff,0,1bab9e7d,46023221116403719,1
245,13.62000,¹ö¶¯µ¯Ä»,25,0xffffff,0,f4aa591,46022728225390595,1
246,141.57400,¹ö¶¯µ¯Ä»,25,0xffffff,0,2ebf5412,46022283388518405,±£»¤
247,9.68400,¹ö¶¯µ¯Ä»,25,0xffffff,0,c992a2e6,46022152324907015,1
248,11.14500,¹ö¶¯µ¯Ä»,25,0xffffff,0,87e5767a,46021907059834887,1
249,210.01500,¹ö¶¯µ¯Ä»,25,0xffffff,0,425694,46020348760555525,²»¶Ô¾¢
250,9.83700,¹ö¶¯µ¯Ä»,25,0xffffff,0,276bbb89,46010533358862339,1
251,12.62300,¹ö¶¯µ¯Ä»,25,0xffffff,0,883ce77,46007714626666503,1
252,9.17900,¹ö¶¯µ¯Ä»,25,0xffffff,0,883ce77,46007712141541379,20
253,11.32600,¹ö¶¯µ¯Ä»,25,0xffffff,0,a7407586,46002518306062343,1
254,182.03700,¹ö¶¯µ¯Ä»,25,0xffffff,0,b1cafbf3,46001656648171523,È·Êµ
